Sku,Description,Category,Original Price,Brand
1000,Whisker Lickin' Chicken Delight,Pet Food,19.99,Pawsitively Pawesome Pet Supplies
1005,Carrot Sticks,Groceries,29.99,Munchie Mania
1012,Purrfectly Fishy Feast,Pet Food,39.99,Snickerdoodle Snacks 'n' Wagtails
1013,Chewy Cheesy Delights,Pet Food,14.99,Pawsitively Pawesome Pet Supplies
1031,Squeaky Clean Dental Chews,Pet Food,24.99,Snickerdoodle Snacks 'n' Wagtails
1039,Meow Mix Meister Meal,Pet Food,34.99,Pawsitively Pawesome Pet Supplies
1040,Crunchy Carrot Cravings,Pet Food,9.99,Snickerdoodle Snacks 'n' Wagtails
4141,Steaks chews,Groceries,19.99,Crave-a-Licious
5245,Tempting Tuna Treats,Pet Food,29.99,Snickerdoodle Snacks 'n' Wagtails
5432,Beauty Sleep Miracle Mask,Beauty,39.99,Glam-O-Rama
5643,Whacky Wildberry Wafers,Pet Food,14.99,Pawsitively Pawesome Pet Supplies
8987,Unicorn Magic Elixir,Beauty,24.99,BeautyBliss
